activity_id,stage,source_machine,source_cores,source_speed_mhz,source_peak_gflops,c3d_reference_gflops,source_speedup_vs_c3d,observed_runtime_seconds,et0_c3d_seconds,avg_cpu_percent
sg1iterdeconid0000954,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,0.549000,0.738655,45.173
sg1iterdeconid0000955,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.663000,1.203044,69.5324
sg1iterdeconid0000956,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.675000,1.224818,69.9259
sg1iterdeconid0000957,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,1.087000,1.972411,81.5087
sg1iterdeconid0000958,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.701000,0.764727,99.8573
sg1iterdeconid0000959,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.850000,1.542364,52.1176
sg1iterdeconid0000960,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,0.792000,1.065600,90.6566
sg1iterdeconid0000961,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,1.409000,2.556695,98.2257
sg1iterdeconid0000962,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.380000,0.766218,99.7368
sg1iterdeconid0000963,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.172000,0.187636,100.0
sg1iterdeconid0000964,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,2.835000,5.144236,49.7354
sg1iterdeconid0000965,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.707000,0.771273,100.0
sg1iterdeconid0000966,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,1.567000,2.108327,21.2508
sg1iterdeconid0000967,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,0.126000,0.169527,100.0
